country,respno,backchk,urbrur,region,district,townvill,ea_name,eanumb,uniqueea,hholdse1,hholdse2,hholdse3,hholdse4,hholdse5,hholdse6,hholdse7,prevint,currint,calls,dateintr,strtime,q1,q2,q3,q4a,q4b,q5,q6a,q6b,q7a,q7b,q8a,q8b,q8c,q8d,q8e,q8f,q9a,q9b,q9c,q10,q11,q12,q13,q14a,q14b,q14c,q15a,q15b,q15c,q16,q17,q18a,q18b,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28a,q28b,q28c,q28d,q29,q30,q31a,q31b,q31c,q32a,q32b,q32c,q32d,q32e,q32f,q32g,q33,q34,q35a,q35b,q35c,q35pt1,q35pt2,q35pt3,q36a,q36b,q36c,q37,q38,q39,q40,q41,q42,q43a1,q43a2,q43b1,q43b2,q43c1,q43c2,q44a1,q44a2,q44b1,q44b2,q44c1,q44c2,q45,q46,q47,q48,q49,q50,q51,q52a,q52b,q52c,q52d,q53a,q53b,q53c,q53d,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q55a,q55b,q55c,q55d,q55e,q55f,q55g,q55h,q55i,q55j,q55k,q55l,q55m,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q56i,q56j,q57a,q57b,q57c,q57d,q57e,q57f,q58a,q58b,q58c,q59,q60,q61,q62a,q62b,q63pt1,q63pt2,q63pt3,q64,q65a,q65b,q65c,q65d,q65e,q65f,q65g,q65h,q65i,q65j,q65k,q66,q67a,q67b,q67c,q67d,q68a,q68b,q68c,q69a,q69b,q70a,q70b,q70c,q70d,q71a,q71b,q71c,q71d,q71e,q72a,q72b,q72c,q73a,q73b,q73c,q73d,q73e,q73f,q73g,q74a,q74b,q74c,q74d,q74e,q74f,q74g,q75a,q75b,q75c,q75d,q75e,q76a,q76b,q77a,q77b,q78a,q78b,q78c,q78d,q79,q80a,q80b,q81,q82,q83,q84a,q84b,q84c,q84d,q85,q86,q87,q90,q91,q92,q93a,q93b,q93c,q93d,q93e,q93f,q94,q95,q96a,q96b,q97,q98,q99,q100,endtime,length,q101,q102,q103,q104,q105a,q105b,q105c,q105d,q105e,q106,q107a,q107b,q107c,q108a,q108b,q108c,q108d,q108e,q108f,q110,q111,q112,q113,q114,q115,q116a,q116b,q116c,q116d,q116e,q116f,q116g,q116h,q116i,q116j,q116k,q117a,q117b,q118,withinwt,acroswt,combwt,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
18,ZIM0001,2,1,440,HARARE,WARREN PARK 1,,20,1844020,997,997,997,997,997,997,997,1,2,1,10-Oct-05,12:36:00 PM,32,0,441,1,1,1,4,4,1,1,1,0,2,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,3,2,2,1,4,4,0,2,1,2,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,4,4,2,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,FREEDOM FOR EVERYONE TO DO YOUR JOB,FREEDOM TO CHOOSE LAND,NO FURTHER ANSWER,1,5,996,2,2,2,3,2,2,2,4,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,1,2,#NULL!,3,2,2,2,4,4,2,3,3,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,9,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,3,3,3,#NULL!,4,1,1,1,24,8,3,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,#NULL!,#NULL!,2,3,2,3,2,3,2,2,2,7,7,7,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,2,2,2,2,0,1,1,1,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,441,1,4,2,5,1,1,1,0,0,0,0,24,2,2,1,7,441,17,1:40:00 PM,64,2,1,441,4,0,0,0,0,0,1,032,049,038,1,1,1,1,1,1,ZIM17,24,2,2,441,8,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1.145038,1.145038,879233,1,Warren Park,-17.83028,30.98222,PPLX,6295630|6255146|ZW|10|890299|879233,Earth|Africa|Zimbabwe|Harare|Harare|Warren Park,2,1
18,ZIM0002,2,1,440,HARARE,SUNNINGDALE 1,,30,1844030,997,997,997,997,997,997,997,1,2,1,9-Oct-05,3:35:00 PM,24,0,441,1,3,4,2,2,2,4,0,0,0,1,3,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,4,2,2,1,2,4,1,2,1,1,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,4,4,2,0,0,0,2,7,0,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,FREEDOM TO EXPRESS ONE'S OPINION,NO FURTHER REPLY,NO FURTHER REPLY,1,996,996,1,1,1,3,1,4,1,4,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,1,1,#NULL!,2,2,3,3,3,3,5,2,3,3,2,2,1,2,2,1,2,1,1,0,1,1,1,1,3,2,2,0,0,1,0,1,1,1,1,1,1,1,9,1,9,1,0,7,0,0,0,3,3,3,#NULL!,1,2,9,1,1,3,20,1,1,1,2,1,3,2,3,3,3,9,3,1,1,1,3,2,9,9,9,#NULL!,#NULL!,2,4,2,4,2,3,2,2,3,7,7,7,2,3,3,2,3,3,0,2,0,0,3,2,0,0,4,2,2,2,2,1,3,1,1,3,3,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,997,7,8,2,6,1,1,0,0,0,0,1,23,0,1,1,1,441,1,4:56:00 PM,81,2,1,1,1,0,0,0,0,0,0,000,000,000,1,1,1,1,1,1,ZIM14,25,1,2,441,8,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1.145038,1.145038,1085505,1,Sunningdale,-17.867781,31.05611,PPLX,6295630|6255146|ZW|10|890299|1085505,Earth|Africa|Zimbabwe|Harare|Harare|Sunningdale,2,1
18,ZIM0003,2,1,440,HARARE,KUWADZANA 5,,350,18440350,997,997,997,997,997,997,997,1,2,1,9-Oct-05,12:54:00 PM,48,1,441,1,2,3,1,1,2,2,4,4,4,2,3,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,1,1,2,4,4,2,1,1,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,4,5,4,2,0,0,2,1,1,2,2,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,FREE TO SAY WHAT I WANT,FREE TO JOIN ANY PARTY,FREEDOM OF EXPRESSION,1,1,1,1,1,2,3,1,3,2,4,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,1,2,#NULL!,2,4,4,9,9,2,3,3,1,3,0,1,2,3,1,3,2,2,0,0,0,0,0,3,0,0,9,0,3,0,3,2,2,1,3,2,3,1,9,9,9,0,0,0,3,3,9,3,3,3,#NULL!,4,1,0,0,1,8,3,1,1,1,1,2,2,2,2,2,1,2,3,4,2,1,2,1,1,1,1,#NULL!,#NULL!,2,4,1,4,1,2,1,9,1,7,7,7,7,7,7,7,7,7,7,3,3,3,3,2,3,2,5,4,2,2,2,3,0,1,9,3,3,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,441,2,3,10,4,1,1,1,0,0,0,1,10,2,1,1,5,441,19,1:40:00 PM,46,2,1,441,1,0,0,0,0,0,1,030,084,089,2,1,2,1,1,1,ZIM15,26,1,2,441,6,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1.145038,1.145038,11428879,1,Kuwadzana 5,-17.82733,30.913151,PPLX,6295630|6255146|ZW|04|11428879,Earth|Africa|Zimbabwe|Mashonaland East Province|Kuwadzana 5,2,1
18,ZIM0004,2,1,440,HARARE,KUWADZANA 5,,350,18440350,997,997,997,997,997,997,997,0,1,1,9-Oct-05,10:05:00 AM,36,1,441,1,3,3,1,1,1,1,1,0,0,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,1,1,1,1,0,0,0,0,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,2,2,3,0,2,0,0,1,1,0,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,MAJORITY RULE,FREEDOM OF EXPRESSION,NO FURTHER REPLY,7,1,996,1,1,1,3,4,4,1,4,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,2,1,#NULL!,4,4,1,2,2,3,4,3,2,2,3,1,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,9,0,2,1,1,0,3,3,3,3,3,0,1,7,7,7,7,7,7,3,3,3,#NULL!,4,9,0,0,1,7,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,3,1,#NULL!,#NULL!,1,4,1,4,1,3,1,1,1,7,7,7,2,2,2,2,0,1,1,0,1,1,3,3,3,0,4,7,2,7,7,3,3,0,0,3,3,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,997,7,5,6,3,1,1,1,1,0,0,3,10,0,0,1,3,998,19,11:05:00 AM,60,1,1,441,1,0,0,0,0,0,0,000,000,000,1,1,1,1,1,1,ZIM16,23,1,2,441,8,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1.145038,1.145038,11428879,1,Kuwadzana 5,-17.82733,30.913151,PPLX,6295630|6255146|ZW|04|11428879,Earth|Africa|Zimbabwe|Mashonaland East Province|Kuwadzana 5,2,1
18,ZIM0005,1,1,440,HARARE,WARREN PARK 1,,20,1844020,997,997,997,997,997,997,997,1,2,1,10-Oct-05,12:39:00 PM,55,1,441,5,5,3,4,4,1,1,1,4,4,4,3,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,1,2,1,4,4,2,0,0,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,4,4,2,0,0,0,6,7,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,PEACE,FREE TO DO WHAT YOU WANT,FREEDOM OF SPEECH,4,1,1,1,1,1,3,2,2,2,4,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,9,1,1,#NULL!,2,4,4,1,3,2,9,3,2,3,3,1,2,3,2,1,2,2,0,1,0,0,0,3,0,0,1,0,3,0,3,1,1,2,3,3,3,3,1,2,2,0,0,0,0,7,7,2,3,3,#NULL!,4,0,0,0,3,7,1,1,1,2,2,2,1,3,3,3,2,1,4,4,1,1,3,2,1,2,1,#NULL!,#NULL!,2,3,1,4,1,1,1,3,1,7,7,7,3,3,3,3,3,2,1,3,3,2,2,3,3,0,2,2,5,2,2,0,0,0,0,3,2,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,997,7,5,10,1,0,1,1,0,0,0,1,13,3,2,1,15,997,17,1:50:00 PM,71,2,1,441,3,1,1,0,0,0,0,000,000,000,2,2,1,1,1,1,ZIM15,26,1,2,441,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.145038,1.145038,879233,1,Warren Park,-17.83028,30.98222,PPLX,6295630|6255146|ZW|10|890299|879233,Earth|Africa|Zimbabwe|Harare|Harare|Warren Park,2,1
18,ZIM0006,2,1,440,HARARE,KUWADZANA 5,,350,18440350,997,997,997,997,997,997,997,2,1,1,9-Oct-05,12:51:00 PM,24,0,441,1,1,2,1,1,1,1,4,1,3,3,1,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,4,1,1,1,3,3,4,2,2,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,4,4,0,1,0,0,1,1,2,2,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,UNITY,FREEDOPM OF EXPRESSION,FREEDOM IN PARTICIPATING IN POLITICS,4,1,1,1,1,1,3,1,4,5,4,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,1,1,#NULL!,2,1,2,1,2,1,1,3,3,3,1,3,2,2,1,1,1,1,1,2,1,1,1,3,0,0,0,0,3,0,3,3,2,1,3,2,3,3,1,1,0,3,7,3,2,3,3,3,3,3,#NULL!,2,2,2,2,3,8,11,0,1,1,1,1,1,1,1,3,2,1,1,3,1,1,4,1,1,3,3,#NULL!,#NULL!,1,4,2,4,1,2,2,7,2,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,4,7,7,4,2,0,0,1,1,3,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,441,3,5,10,4,1,1,1,0,0,0,5,14,2,3,1,10,441,17,1:41:00 PM,50,1,1,441,1,0,0,0,0,0,0,000,000,000,1,1,1,1,1,1,ZIM13,23,1,2,441,8,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1.145038,1.145038,11428879,1,Kuwadzana 5,-17.82733,30.913151,PPLX,6295630|6255146|ZW|04|11428879,Earth|Africa|Zimbabwe|Mashonaland East Province|Kuwadzana 5,2,1
18,ZIM0007,2,1,440,HARARE,SUNNINGDALE 1,,30,1844030,997,997,997,997,997,997,997,1,2,1,9-Oct-05,3:51:00 PM,40,0,441,1,2,4,1,1,1,1,2,1,1,3,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,5,4,1,2,1,1,1,3,2,1,2,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,4,4,3,0,0,0,1,1,1,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,GIVEN THE CHANCE TO EXCERCISE ONE'S RIGHT,PROVISION BASIC NEEDS,FREEDOM OF ASSOCIATION,1,5,1,1,1,1,3,1,4,1,4,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,1,1,#NULL!,1,2,4,2,2,2,2,3,3,3,3,1,2,2,2,1,1,1,2,1,0,0,0,2,1,0,3,0,3,1,3,1,2,2,3,3,3,3,1,2,0,0,0,0,0,0,0,3,3,2,#NULL!,2,9,1,1,8,11,15,0,1,1,1,1,1,1,1,1,1,1,2,4,2,1,3,1,1,1,1,#NULL!,#NULL!,2,4,2,4,1,2,2,3,3,7,7,7,3,2,0,0,0,0,0,2,2,1,2,3,3,0,2,2,2,3,2,1,1,0,0,3,3,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,998,2,6,4,6,1,1,1,1,0,1,5,18,1,3,1,8,998,17,4:58:00 PM,67,2,1,1,1,0,0,0,0,0,0,000,000,000,1,1,1,1,1,1,ZIM13,23,1,2,441,8,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1.145038,1.145038,1085505,1,Sunningdale,-17.867781,31.05611,PPLX,6295630|6255146|ZW|10|890299|1085505,Earth|Africa|Zimbabwe|Harare|Harare|Sunningdale,2,1
18,ZIM0008,1,1,440,HARARE,MBARE NATIONAL,,250,18440250,997,997,997,997,997,997,997,0,1,1,10-Oct-05,9:45:00 AM,19,0,441,1,2,2,4,4,1,1,1,0,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,3,2,2,1,2,3,0,2,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,3,3,3,1,0,0,0,5,7,1,1,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,DOES NOT KNOW,NO FURTHER REPLY,NO FURTHER REPLY,999,996,996,2,2,2,9,2,2,2,2,3,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,9,9,#NULL!,2,3,2,2,4,4,4,3,3,2,2,1,4,3,4,2,2,2,1,1,1,1,1,3,3,3,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,3,3,#NULL!,4,2,1,1,8,11,24,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,3,2,#NULL!,#NULL!,3,3,3,3,2,2,2,3,3,7,7,7,3,1,1,1,0,1,1,3,1,1,3,1,3,1,4,2,2,2,2,1,1,1,1,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,997,7,3,2,5,1,1,1,0,0,0,0,6,0,0,0,997,998,17,10:40:00 AM,55,1,1,441,1,0,0,0,0,0,0,000,000,000,1,1,1,1,1,1,ZIM17,24,2,2,441,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.145038,1.145038,1106398,1,Mbare,-17.858061,31.03722,PPLX,6295630|6255146|ZW|10|890299|1106398,Earth|Africa|Zimbabwe|Harare|Harare|Mbare,2,1
18,ZIM0009,2,1,440,HARARE,WARREN PARK 1,,20,1844020,997,997,997,997,997,997,997,2,1,1,10-Oct-05,12:33:00 PM,18,0,441,1,2,2,2,2,4,4,1,2,2,1,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,2,1,1,4,2,0,1,0,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,4,4,1,0,0,0,6,7,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,MUTUAL RESPECT,ECONOMIC DEVELOPMENT,FREEDOM,10,5,1,2,2,1,3,1,1,1,2,4,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,4,1,1,#NULL!,2,4,2,2,5,5,5,3,2,2,2,1,2,2,1,2,2,2,2,1,0,2,1,1,9,0,0,0,1,0,3,1,2,2,2,1,2,3,1,1,1,0,0,0,0,1,0,3,3,3,#NULL!,2,0,3,3,2,8,11,1,2,1,1,1,2,1,2,3,1,2,1,4,1,1,2,2,2,2,1,#NULL!,#NULL!,2,4,2,4,1,1,1,1,1,7,7,7,1,3,2,3,3,2,2,3,3,2,3,3,3,0,1,2,2,7,2,2,0,1,1,3,3,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,998,1,5,4,6,0,0,0,0,0,0,1,0,1,1,1,3,998,21,1:26:00 PM,53,1,1,1,3,0,0,0,0,0,0,000,000,000,2,1,1,1,2,1,ZIM19,20,2,2,441,7,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1.145038,1.145038,879233,1,Warren Park,-17.83028,30.98222,PPLX,6295630|6255146|ZW|10|890299|879233,Earth|Africa|Zimbabwe|Harare|Harare|Warren Park,2,1
18,ZIM0010,2,1,440,HARARE,SUNNINGDALE 1,,30,1844030,997,997,997,997,997,997,997,2,1,1,9-Oct-05,3:40:00 PM,42,0,441,4,4,4,2,2,4,4,0,0,1,0,3,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,3,2,2,2,4,4,3,3,0,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,3,3,1,1,0,0,1,1,2,0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,SOCIAL DEVELOPMENT,VOTING,FREEDOM,5,3,1,2,2,2,3,1,4,1,4,9,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,,#NULL!,2,2,2,#NULL!,1,2,2,2,5,5,5,2,2,9,9,2,3,4,4,4,4,3,3,2,2,2,3,2,3,3,3,2,9,3,3,9,1,9,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,3,#NULL!,2,0,3,3,3,4,11,2,2,2,2,2,2,2,3,3,2,3,2,4,2,2,3,3,3,3,2,#NULL!,#NULL!,4,4,4,4,2,2,4,4,2,7,7,7,0,3,0,1,0,0,0,0,2,0,2,3,0,0,1,7,2,7,2,3,3,1,2,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0,997,7,5,2,5,1,0,0,0,0,0,1,0,2,1,0,997,998,21,4:30:00 PM,50,1,1,1,1,0,0,0,0,0,0,000,000,000,1,2,1,1,1,1,ZIM19,20,2,2,441,7,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1.145038,1.145038,1085505,1,Sunningdale,-17.867781,31.05611,PPLX,6295630|6255146|ZW|10|890299|1085505,Earth|Africa|Zimbabwe|Harare|Harare|Sunningdale,2,1
