respno,refnumb,casenumb,country,v5,identity,supdem,supold,supnow,supfut,rejone,rejtrd,rejmil,rejdic,rejexp,dmpext,dmpsat,dmpvot,dmpsay,defnew,defjug,defele,spamar,spafee,sparet,spaprv,sapknw,sapmin,sapsat,occup,gender,age,educ,unemp,urbrur,medrad,medtv,mednew,povfoo,povwat,povhth,povelc,povinc,hltmen,aidexp,demoe1,demoe2,demoe3,demmaj,demspc,demele,demmpd,demnec,dememp,demedu,demgap,marsuc,marjob,marear,marrsk,marhse,marcdt,marcom,marsch,maremp,marcrm,sctrust,scint,scdsc,scund,sckloc,sckmp,sckfin,sckvp,nidprd,nidchl,gidprd,gidchl,gidbes,gidstr,pfesol,pfeemp,pfeprc,pfegap,pfenow,pfepas,pfefut,pfeerd,pfegrp,pfrsay,pfrass,pfrvot,pfreql,pfrele,pfrgpt,pfrfai,pfrall,pfrgpr,pfpcrm,pfpsaf,pfpcr1,pfpcr2,pfpcr3,pfpcr4,pfpcr5,trspre,trspol,trscts,trsarm,trsnec,trsbrd,pfgpre,pfgmp,pfgloc,pfgedu,pfghlt,pfghiv,mip1,mip2,legcon,leggov,memrel,memdev,membus,memlab,pidcls,pidwin,parvot,parcom,pariss,parral,parcam,parlet,pardem,parctg,parcti,xstronld,withinwt,acrosswt,combinwt,africawt,afcombwt,race,language,party,area,urbrur_original,urbrur_sample,region,locationlevel1,locationlevel2,townvill,eanumb,uniqueea,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness;
ZIM1178,1178,1ZIM,ZIM,12,5,1,99,99,99,1,1,1,1,5,0,1,4,5,1,1,1,1,1,4,4,1,4,1,49,1,27,2,1,2,3,0,3,0,0,2,3,2,3,1,11,29,25,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,1,4,4,2,2,1,4,1,1,0,1,5,2,5,2,2,5,1,1,1,99,1,1,1,1,1,5,4,4,1,3,5,2,1,62,1,1,99,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,99,4,9,1,1,0,0,1,0,2,1,3,0,3,1,4,4,0,2,3,4,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Chemapango,,#NULL!,2887,886842,4,Mashonaland East Province,-17.966669,31.66667,ADM1,6295630|6255146|ZW|04,Earth|Africa|Zimbabwe|Mashonaland East Province,1,1;
ZIM1179,1179,2ZIM,ZIM,12,1,1,99,99,99,2,2,2,2,2,0,2,1,4,1,1,1,3,1,1,1,1,4,1,49,1,25,2,1,2,5,4,4,0,0,0,3,2,2,1,4,4,3,1,1,1,1,1,1,1,3,4,4,4,3,1,1,1,1,1,1,2,1,2,3,1,9,9,9,5,5,5,5,5,5,4,1,1,99,1,1,1,1,1,4,4,4,4,1,5,2,1,63,1,4,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,19,9,1,1,1,0,0,0,1,0,3,0,4,4,4,4,4,0,0,4,1,1,1,.73587143,.73587143,1,18,14,15,Rural,,Manicaland,,Dora Pinto,,#NULL!,2817,887358,4,Manicaland,-19,32.416672,ADM1,6295630|6255146|ZW|01,Earth|Africa|Zimbabwe|Manicaland,1,1;
ZIM1180,1180,3ZIM,ZIM,12,2,1,99,99,99,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,4,1,49,1,26,2,1,2,5,5,5,0,0,0,3,0,2,1,6,0,0,1,1,1,1,1,1,1,3,1,1,1,4,4,4,4,4,4,4,2,1,2,2,1,5,9,9,4,4,4,4,4,4,3,1,1,99,1,1,1,1,2,3,3,3,3,2,4,2,3,997,1,3,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99,4,19,2,2,1,0,0,0,1,2,3,0,0,0,0,0,4,0,0,3,1,1,1,.73587143,.73587143,1,18,27,15,Rural,,Manicaland,,St Kilians,,#NULL!,2833,7417722,1,St. Killians Mission,-18.606409,32.416149,MSSN,6295630|6255146|ZW|01|7417722,Earth|Africa|Zimbabwe|Manicaland|St. Killians Mission,3,1;
ZIM1181,1181,4ZIM,ZIM,12,2,1,99,99,99,1,1,1,1,1,2,4,4,2,1,1,1,1,2,4,1,1,4,1,50,2,999,1,0,1,4,5,4,1,0,1,3,1,1,1,6,4,0,1,1,1,1,1,1,1,3,2,1,1,3,3,1,4,1,4,4,2,1,2,2,1,9,9,1,4,4,4,4,4,4,1,1,1,99,1,1,1,1,2,3,3,4,4,4,4,3,1,42,1,1,99,2,2,2,1,2,1,1,1,1,1,3,3,3,1,1,99,9,19,1,3,0,1,1,0,2,1,2,1,4,4,0,0,0,0,0,4,1,1,1,.73587143,.73587143,1,18,0,15,Urban,,Manicaland,Dangamvura,Dangamvura,Mutare,#NULL!,2853,884979,1,Mutare,-18.970699,32.67086,PPLA,6295630|6255146|ZW|01|884979,Earth|Africa|Zimbabwe|Manicaland|Mutare,2,1;
ZIM1182,1182,5ZIM,ZIM,12,2,1,99,99,99,1,1,1,1,1,0,1,3,1,1,1,1,1,4,1,1,1,4,1,50,2,33,2,1,2,3,0,0,1,0,1,3,1,1,1,1,6,5,1,1,1,1,1,1,1,1,4,4,1,4,4,1,4,4,4,4,2,2,1,1,9,1,9,9,5,5,4,4,4,5,1,1,1,99,1,1,1,1,1,4,4,1,1,3,5,1,3,997,1,1,99,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,99,9,19,1,1,1,0,0,1,2,1,3,0,3,2,4,4,0,0,0,4,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,UMP,UMP,#NULL!,2911,10800411,3,Uzumba-Maramba-Pfungwe District,-17.03775,32.0257,ADM2,6295630|6255146|ZW|04|10800411,Earth|Africa|Zimbabwe|Mashonaland East Province|Uzumba-Maramba-Pfungwe District,1,1;
ZIM1183,1183,6ZIM,ZIM,12,1,1,99,99,99,2,2,1,1,2,1,2,4,1,0,0,0,3,4,4,1,1,4,1,14,2,40,0,1,2,5,5,4,2,0,1,3,2,3,1,11,2,0,1,2,1,3,1,1,1,1,3,4,1,4,4,1,1,4,4,4,2,2,1,1,0,9,9,9,5,5,5,2,1,4,2,1,1,99,1,1,1,2,9,3,4,2,3,2,5,9,3,997,1,1,99,2,9,1,2,1,1,9,9,9,4,2,9,3,2,2,99,9,17,3,1,0,0,0,0,1,2,3,3,1,4,0,4,0,0,0,4,1,1,1,.73587143,.73587143,1,18,27,19,Rural,,Mashonaland East,,Nhowe Mission,,#NULL!,2904,884278,1,Nhowe Mission,-17.85523,31.944571,MSSN,6295630|6255146|ZW|04|884278,Earth|Africa|Zimbabwe|Mashonaland East Province|Nhowe Mission,3,1;
ZIM1184,1184,7ZIM,ZIM,12,1,1,99,99,99,1,1,1,1,5,0,1,1,1,1,1,1,4,4,4,1,1,4,1,99,2,21,2,1,1,5,4,0,0,1,2,3,1,1,2,0,0,0,2,1,1,1,1,1,1,2,4,1,1,4,4,2,4,1,4,4,2,4,0,1,9,9,9,1,1,4,5,2,5,5,1,1,1,99,1,1,1,1,2,4,4,4,1,9,5,1,1,64,1,1,99,3,2,2,1,1,1,1,3,1,3,1,1,2,2,2,99,9,19,1,1,1,0,0,0,2,1,1,0,0,0,0,4,2,0,0,4,1,1,1,.73587143,.73587143,1,18,0,19,Urban,,Mashonaland East,,Rujeko,Marondera,#NULL!,2908,886990,1,Marondera,-18.18527,31.551929,PPLA,6295630|6255146|ZW|04|886990,Earth|Africa|Zimbabwe|Mashonaland East Province|Marondera,2,1;
ZIM1185,1185,8ZIM,ZIM,12,1,2,99,99,99,1,2,4,1,5,2,1,1,1,1,1,1,4,4,1,1,1,4,1,50,2,21,2,0,2,5,5,4,0,0,2,3,1,2,2,0,0,0,3,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,2,1,2,1,9,9,9,1,5,5,5,5,5,5,1,3,1,99,1,1,1,5,4,4,4,4,2,4,5,1,1,62,3,2,99,2,2,4,2,1,3,2,4,1,2,1,2,3,3,3,99,9,9,1,1,1,0,0,0,2,1,3,0,0,0,0,4,0,0,0,4,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,Waddilove,,#NULL!,2914,886842,4,Mashonaland East Province,-17.966669,31.66667,ADM1,6295630|6255146|ZW|04,Earth|Africa|Zimbabwe|Mashonaland East Province,1,1;
ZIM1186,1186,9ZIM,ZIM,12,1,1,99,99,99,5,2,1,5,4,9,2,1,1,0,0,1,3,1,2,1,1,4,1,53,1,76,0,0,2,5,0,0,2,0,1,3,1,2,1,6,0,0,1,9,1,9,1,1,3,3,4,4,4,1,1,1,1,1,1,1,2,4,0,1,0,1,9,1,5,5,5,5,5,2,2,2,1,99,1,1,1,1,2,3,2,4,4,9,5,4,3,997,1,2,99,9,9,9,3,9,1,2,4,3,3,9,9,3,4,3,99,13,29,9,1,0,0,0,0,1,2,3,0,0,3,0,0,0,0,0,3,1,1,1,.73587143,.73587143,1,18,27,19,Rural,,Mashonaland East,,Chirimamhunga,,#NULL!,2889,886842,4,Mashonaland East Province,-17.966669,31.66667,ADM1,6295630|6255146|ZW|04,Earth|Africa|Zimbabwe|Mashonaland East Province,1,1;
ZIM1187,1187,10ZIM,ZIM,12,1,1,99,99,99,2,2,2,2,4,0,2,4,1,1,1,0,1,1,4,3,1,4,1,60,1,34,2,0,2,5,3,1,0,0,1,3,1,1,2,7,6,0,1,1,1,1,1,1,3,3,4,4,1,2,1,1,1,1,1,1,1,4,1,1,9,1,1,1,5,5,5,5,3,4,2,2,1,99,1,1,1,2,2,4,4,4,3,3,5,3,1,65,1,3,99,2,1,2,5,2,1,2,3,1,3,2,3,2,3,3,99,9,19,2,1,0,0,0,0,2,1,3,0,0,0,0,4,0,0,0,3,1,1,1,.73587143,.73587143,1,18,0,19,Rural,,Mashonaland East,,St Lukes,Rusape,#NULL!,2910,886842,4,Mashonaland East Province,-17.966669,31.66667,ADM1,6295630|6255146|ZW|04,Earth|Africa|Zimbabwe|Mashonaland East Province,1,1;
